ID,AREA,ELEVATION,LATITUDE,LONGITUDE,BASIN_ID,LAND_USE_CLASS,VEG_CLASS,SOIL_PROFILE,AQUIFER_PROFILE,TERRAIN_CLASS,SLOPE,ASPECT,harvest_year,burn_year,forest_class
1,0.011,910,49.5693,-119.0524,1,FOREST_IDF,FOREST_IDF,SOIL,[NONE],[NONE],1,127,2018,0,IDF
2,0.1915,921,49.5673,-119.0479,1,FOREST_IDF,FOREST_IDF,SOIL,[NONE],[NONE],7,98,2013,0,IDF
3,0.1548,936,49.5716,-119.0422,1,FOREST_IDF,FOREST_IDF,SOIL,[NONE],[NONE],7,84,2006,0,IDF
4,1.3989,933,49.5759,-119.0422,1,FOREST_IDF,FOREST_IDF,SOIL,[NONE],[NONE],5,153,0,0,IDF
5,0.0477,1023,49.5881,-119.0188,1,FOREST_IDF,FOREST_IDF,SOIL,[NONE],[NONE],10,51,2023,0,IDF
6,0.2355,1037,49.6281,-118.9835,1,FOREST_MS,FOREST_MS,SOIL,[NONE],[NONE],3,198,2017,1924,MS
7,0.0544,1035,49.6221,-118.9818,1,FOREST_MS,FOREST_MS,SOIL,[NONE],[NONE],9,68,2013,1924,MS
8,0.3933,1004,49.5796,-119.037,1,FOREST_IDF,FOREST_IDF,SOIL,[NONE],[NONE],11,142,2013,0,IDF
9,0.4037,997,49.5781,-119.0306,1,FOREST_IDF,FOREST_IDF,SOIL,[NONE],[NONE],12,65,2006,0,IDF
10,0.0073,1049,49.6342,-118.98,1,FOREST_MS,FOREST_MS,SOIL,[NONE],[NONE],5,238,1998,1924,MS
11,0.0294,990,49.5888,-119.036,1,FOREST_IDF,FOREST_IDF,SOIL,[NONE],[NONE],8,224,1993,0,IDF
12,0.9126,992,49.6096,-119.0032,1,FOREST_IDF,FOREST_IDF,SOIL,[NONE],[NONE],4,143,0,1924,IDF
13,3.1324,1025,49.6183,-118.993,1,FOREST_MS,FOREST_MS,SOIL,[NONE],[NONE],6,152,0,1924,MS
14,4.4413,992,49.5894,-119.0257,1,FOREST_IDF,FOREST_IDF,SOIL,[NONE],[NONE],9,158,0,0,IDF
15,0.1236,1036,49.6003,-119.0093,1,FOREST_MS,FOREST_MS,SOIL,[NONE],[NONE],13,74,0,0,MS
16,0.0012,1028,49.6041,-119.0014,1,FOREST_MS,FOREST_MS,SOIL,[NONE],[NONE],21,12,0,1924,MS
17,0.0159,1034,49.5725,-119.0305,1,FOREST_IDF,FOREST_IDF,SOIL,[NONE],[NONE],24,23,0,0,IDF
18,0.0024,1045,49.5732,-119.029,1,FOREST_MS,FOREST_MS,SOIL,[NONE],[NONE],22,176,0,0,MS
19,6e-4,1130,49.6418,-118.9858,1,FOREST_MS,FOREST_MS,SOIL,[NONE],[NONE],20,193,2017,1924,MS
20,0.0135,1129,49.638,-118.993,1,FOREST_MS,FOREST_MS,SOIL,[NONE],[NONE],26,148,0,1924,MS
21,0.0043,1128,49.6141,-119.0064,1,FOREST_MS,FOREST_MS,SOIL,[NONE],[NONE],24,212,0,0,MS
22,0.0447,1066,49.586,-119.0175,1,FOREST_IDF,FOREST_IDF,SOIL,[NONE],[NONE],13,49,2023,0,IDF
23,0.0636,1102,49.5981,-118.9997,1,FOREST_MS,FOREST_MS,SOIL,[NONE],[NONE],12,45,2023,0,MS
24,0.0905,1099,49.6167,-119.0109,1,FOREST_MS,FOREST_MS,SOIL,[NONE],[NONE],14,254,2018,1924,MS
25,0.0147,1090,49.5621,-119.0397,1,FOREST_IDF,FOREST_IDF,SOIL,[NONE],[NONE],11,57,2018,0,IDF
26,0.0538,1124,49.5832,-119.0288,1,FOREST_MS,FOREST_MS,SOIL,[NONE],[NONE],15,76,2018,0,MS
27,0.4502,1101,49.6367,-118.9816,1,FOREST_MS,FOREST_MS,SOIL,[NONE],[NONE],9,211,2017,1924,MS
28,0.0447,1140,49.5744,-119.0266,1,FOREST_MS,FOREST_MS,SOIL,[NONE],[NONE],16,69,2017,0,MS
29,0.1853,1106,49.6372,-118.97,1,FOREST_MS,FOREST_MS,SOIL,[NONE],[NONE],12,71,2013,1924,MS
30,0.1028,1075,49.5838,-119.0373,1,FOREST_IDF,FOREST_IDF,SOIL,[NONE],[NONE],11,193,2013,0,IDF
31,0.0728,1108,49.5885,-119.0194,1,FOREST_MS,FOREST_MS,SOIL,[NONE],[NONE],13,52,2013,0,MS
32,0.0459,1071,49.5834,-119.0211,1,FOREST_IDF,FOREST_IDF,SOIL,[NONE],[NONE],13,56,2006,0,IDF
33,0.03,1112,49.5826,-119.0191,1,FOREST_MS,FOREST_MS,SOIL,[NONE],[NONE],14,52,2006,0,MS
34,0.5896,1090,49.6372,-118.9831,1,FOREST_MS,FOREST_MS,SOIL,[NONE],[NONE],7,216,1998,1924,MS
35,0.0263,1077,49.6064,-118.9936,1,FOREST_MS,FOREST_MS,SOIL,[NONE],[NONE],22,68,1993,1924,MS
36,0.0483,1066,49.6073,-119.0161,1,FOREST_MS,FOREST_MS,SOIL,[NONE],[NONE],11,240,1993,0,MS
37,0.1486,1117,49.6433,-118.9477,1,FOREST_MS,FOREST_MS,SOIL,[NONE],[NONE],8,148,0,1933,MS
38,0.0312,1136,49.6452,-118.9634,1,FOREST_MS,FOREST_MS,SOIL,[NONE],[NONE],8,180,0,1930,MS
39,5.5839,1098,49.6292,-118.9918,1,FOREST_MS,FOREST_MS,SOIL,[NONE],[NONE],11,191,0,1924,MS
40,0.1853,1121,49.6448,-118.9664,1,FOREST_MS,FOREST_MS,SOIL,[NONE],[NONE],6,162,0,1924:1930,MS
41,1.0093,1071,49.5905,-119.0275,1,FOREST_IDF,FOREST_IDF,SOIL,[NONE],[NONE],13,180,0,0,IDF
42,3.9245,1119,49.6175,-118.9852,1,FOREST_MS,FOREST_MS,SOIL,[NONE],[NONE],11,108,0,0,MS
43,0.0012,1064,49.566,-119.0367,1,FOREST_MS,FOREST_MS,SOIL,[NONE],[NONE],21,317,2013,0,MS
44,0.019,1125,49.6195,-118.9827,1,FOREST_MS,FOREST_MS,SOIL,[NONE],[NONE],30,40,0,1924,MS
45,6e-4,1052,49.5669,-119.0337,1,FOREST_IDF,FOREST_IDF,SOIL,[NONE],[NONE],24,32,0,0,IDF
46,0.0226,1097,49.5813,-119.0176,1,FOREST_MS,FOREST_MS,SOIL,[NONE],[NONE],22,22,0,0,MS
47,0.0165,1239,49.669,-118.8955,1,FOREST_MS,FOREST_MS,SOIL,[NONE],[NONE],23,180,1983,0,MS
48,0.0624,1203,49.6471,-118.9948,1,FOREST_MS,FOREST_MS,SOIL,[NONE],[NONE],25,178,0,1924,MS
49,0.0459,1218,49.6596,-118.9273,1,FOREST_MS,FOREST_MS,SOIL,[NONE],[NONE],24,188,0,0,MS
50,0.0483,1194,49.6394,-118.9415,1,FOREST_MS,FOREST_MS,SOIL,[NONE],[NONE],14,23,2023,0,MS
51,0.0135,1164,49.6196,-119.0135,1,FOREST_MS,FOREST_MS,SOIL,[NONE],[NONE],16,265,2018,1924,MS
52,0.0832,1185,49.6221,-119.0172,1,FOREST_MS,FOREST_MS,SOIL,[NONE],[NONE],15,258,2018,0,MS
53,0.0599,1233,49.6602,-118.9597,1,FOREST_MS,FOREST_MS,SOIL,[NONE],[NONE],12,218,2017,1930,MS
54,0.0024,1190,49.569,-119.0252,1,FOREST_MS,FOREST_MS,SOIL,[NONE],[NONE],3,110,2017,1925,MS
55,0.0477,1205,49.6521,-118.9728,1,FOREST_MS,FOREST_MS,SOIL,[NONE],[NONE],13,220,2017,1924,MS
56,0.0147,1205,49.6559,-118.965,1,FOREST_MS,FOREST_MS,SOIL,[NONE],[NONE],7,204,2017,1924:1930,MS
57,0.4123,1189,49.5836,-119.0206,1,FOREST_MS,FOREST_MS,SOIL,[NONE],[NONE],10,77,2017,0,MS
58,0.219,1198,49.6539,-118.9593,1,FOREST_MS,FOREST_MS,SOIL,[NONE],[NONE],5,101,2013,1930,MS
59,0.3572,1206,49.6455,-118.9957,1,FOREST_MS,FOREST_MS,SOIL,[NONE],[NONE],8,211,2013,1924,MS
60,0.0031,1181,49.653,-118.9666,1,FOREST_MS,FOREST_MS,SOIL,[NONE],[NONE],9,228,2013,1924:1930,MS
61,0.2373,1198,49.6338,-118.9573,1,FOREST_MS,FOREST_MS,SOIL,[NONE],[NONE],9,87,2013,0,MS
62,0.0269,1189,49.5628,-119.0306,1,FOREST_MS,FOREST_MS,SOIL,[NONE],[NONE],4,68,2006,1925,MS
63,0.1603,1180,49.5706,-119.0253,1,FOREST_MS,FOREST_MS,SOIL,[NONE],[NONE],9,54,2006,0,MS
64,0.0569,1226,49.6582,-118.9627,1,FOREST_MS,FOREST_MS,SOIL,[NONE],[NONE],10,231,1998,1930,MS
65,0.0795,1208,49.652,-118.9729,1,FOREST_MS,FOREST_MS,SOIL,[NONE],[NONE],14,220,1998,1924,MS
66,0.0263,1196,49.6549,-118.9651,1,FOREST_MS,FOREST_MS,SOIL,[NONE],[NONE],8,218,1998,1924:1930,MS
67,0.0024,1246,49.6581,-118.9648,1,FOREST_MS,FOREST_MS,SOIL,[NONE],[NONE],12,217,1998,0,MS
68,0.0343,1184,49.6448,-119.0182,1,FOREST_MS,FOREST_MS,SOIL,[NONE],[NONE],6,51,1993,1924,MS
69,0.1229,1217,49.6131,-119.0285,1,FOREST_MS,FOREST_MS,SOIL,[NONE],[NONE],9,247,1993,0,MS
70,0.0826,1229,49.6134,-118.9821,1,FOREST_MS,FOREST_MS,SOIL,[NONE],[NONE],22,69,1992,1924,MS
71,0.0067,1192,49.6665,-118.9016,1,FOREST_MS,FOREST_MS,SOIL,[NONE],[NONE],5,185,1992,0,MS
