time,date,hour,precip [mm/day],TRAPPING_CREEK_NEAR_THE_MOUTH [m3/s],TRAPPING_CREEK_NEAR_THE_MOUTH (observed) [m3/s]
0,1980-01-01,00:00:00.00,---,2.34495,
1,1980-01-02,00:00:00.00,3.10912,1.17248,0.105
2,1980-01-03,00:00:00.00,0,0,0.105
3,1980-01-04,00:00:00.00,0,0,0.105
4,1980-01-05,00:00:00.00,0,0,0.108
5,1980-01-06,00:00:00.00,0,0,0.108
6,1980-01-07,00:00:00.00,0,0,0.108
7,1980-01-08,00:00:00.00,2.4806,0,0.108
8,1980-01-09,00:00:00.00,2.93995,0,0.108
9,1980-01-10,00:00:00.00,3.47732,0,0.108
10,1980-01-11,00:00:00.00,0,0,0.108
11,1980-01-12,00:00:00.00,3.92684,0,0.105
12,1980-01-13,00:00:00.00,0,0,0.105
13,1980-01-14,00:00:00.00,0,0,0.105
14,1980-01-15,00:00:00.00,7.77077,0,0.105
15,1980-01-16,00:00:00.00,2.9255,0,0.108
16,1980-01-17,00:00:00.00,7.90815,0,0.108
17,1980-01-18,00:00:00.00,0,0,0.108
18,1980-01-19,00:00:00.00,0,0,0.11
19,1980-01-20,00:00:00.00,0,0,0.11
20,1980-01-21,00:00:00.00,0,0,0.11
21,1980-01-22,00:00:00.00,0,0,0.113
22,1980-01-23,00:00:00.00,0,0,0.116
23,1980-01-24,00:00:00.00,0,0,0.122
24,1980-01-25,00:00:00.00,0,0,0.122
25,1980-01-26,00:00:00.00,0,0,0.116
26,1980-01-27,00:00:00.00,0,0,0.11
27,1980-01-28,00:00:00.00,0,0,0.11
28,1980-01-29,00:00:00.00,0,0,0.11
29,1980-01-30,00:00:00.00,0,0,0.11
30,1980-01-31,00:00:00.00,0,0,0.11
31,1980-02-01,00:00:00.00,0,0,0.11
32,1980-02-02,00:00:00.00,4.96094,0,0.113
33,1980-02-03,00:00:00.00,5.70487,0,0.116
34,1980-02-04,00:00:00.00,2.23436,0,0.119
35,1980-02-05,00:00:00.00,0,0,0.119
36,1980-02-06,00:00:00.00,5.35536,0,0.122
37,1980-02-07,00:00:00.00,0,0,0.122
38,1980-02-08,00:00:00.00,0,0,0.119
39,1980-02-09,00:00:00.00,0,0,0.119
40,1980-02-10,00:00:00.00,0,0,0.119
41,1980-02-11,00:00:00.00,0,0,0.119
42,1980-02-12,00:00:00.00,0,0,0.119
43,1980-02-13,00:00:00.00,0,0,0.116
44,1980-02-14,00:00:00.00,2.07174,0,0.116
45,1980-02-15,00:00:00.00,3.43995,0,0.116
46,1980-02-16,00:00:00.00,4.15863,0,0.119
47,1980-02-17,00:00:00.00,1.82781,0,0.122
48,1980-02-18,00:00:00.00,5.53339,0,0.122
49,1980-02-19,00:00:00.00,0,0,0.125
50,1980-02-20,00:00:00.00,7.02356,0,0.125
51,1980-02-21,00:00:00.00,6.58618,0,0.125
52,1980-02-22,00:00:00.00,0,0,0.125
53,1980-02-23,00:00:00.00,0,0,0.125
54,1980-02-24,00:00:00.00,0,0,0.125
55,1980-02-25,00:00:00.00,3.53242,0,0.127
56,1980-02-26,00:00:00.00,2.76094,0,0.13
57,1980-02-27,00:00:00.00,3.65536,0,0.156
58,1980-02-28,00:00:00.00,4.25863,0.00119156,0.187
59,1980-02-29,00:00:00.00,2.8806,0.00321022,0.227
60,1980-03-01,00:00:00.00,0,0.00572313,0.269
61,1980-03-02,00:00:00.00,0,0.007385,0.326
62,1980-03-03,00:00:00.00,3.47732,0.0076077,0.396
63,1980-03-04,00:00:00.00,5.19274,0.00779014,0.34
64,1980-03-05,00:00:00.00,3.05208,0.0076631,0.269
65,1980-03-06,00:00:00.00,0,0.00753872,0.227
66,1980-03-07,00:00:00.00,0,0.00741693,0.215
67,1980-03-08,00:00:00.00,0,0.00729767,0.21
68,1980-03-09,00:00:00.00,0,0.00718087,0.207
69,1980-03-10,00:00:00.00,9.75439,0.00706647,0.207
70,1980-03-11,00:00:00.00,0,0.00695442,0.207
71,1980-03-12,00:00:00.00,0,0.00684464,0.21
72,1980-03-13,00:00:00.00,7.75633,0.00673709,0.215
73,1980-03-14,00:00:00.00,0,0.00663171,0.218
74,1980-03-15,00:00:00.00,0,0.00652845,0.221
75,1980-03-16,00:00:00.00,0,0.00642725,0.221
76,1980-03-17,00:00:00.00,0,0.00632807,0.218
77,1980-03-18,00:00:00.00,0,0.00623085,0.218
78,1980-03-19,00:00:00.00,0,0.00688608,0.215
79,1980-03-20,00:00:00.00,0,0.0128352,0.215
80,1980-03-21,00:00:00.00,0,0.0179097,0.212
81,1980-03-22,00:00:00.00,0,0.0189556,0.212
82,1980-03-23,00:00:00.00,0,0.0321835,0.212
83,1980-03-24,00:00:00.00,0,0.0500689,0.215
84,1980-03-25,00:00:00.00,0,0.055312,0.215
85,1980-03-26,00:00:00.00,0,0.0540667,0.215
86,1980-03-27,00:00:00.00,2.93012,0.0544864,0.218
87,1980-03-28,00:00:00.00,0,0.0590935,0.218
88,1980-03-29,00:00:00.00,4.22356,0.0619358,0.218
89,1980-03-30,00:00:00.00,0,0.0604943,0.221
90,1980-03-31,00:00:00.00,0,0.0590957,0.218
91,1980-04-01,00:00:00.00,0,0.0577385,0.215
92,1980-04-02,00:00:00.00,0,0.0617205,0.218
93,1980-04-03,00:00:00.00,0,0.0657787,0.224
94,1980-04-04,00:00:00.00,0,0.0654567,0.241
95,1980-04-05,00:00:00.00,3.5002,0.067316,0.263
96,1980-04-06,00:00:00.00,5.26772,0.0733668,0.283
97,1980-04-07,00:00:00.00,3.20114,0.0852898,0.311
98,1980-04-08,00:00:00.00,0,0.091807,0.34
99,1980-04-09,00:00:00.00,3.58011,0.0952576,0.605
100,1980-04-10,00:00:00.00,5.06632,0.103645,0.634
101,1980-04-11,00:00:00.00,0,0.121064,0.743
102,1980-04-12,00:00:00.00,0,0.160048,0.872
103,1980-04-13,00:00:00.00,0,0.267413,1.11
104,1980-04-14,00:00:00.00,0,0.552272,1.45
105,1980-04-15,00:00:00.00,2.47868,0.99673,1.87
106,1980-04-16,00:00:00.00,0,1.31922,2.28
107,1980-04-17,00:00:00.00,0,1.54455,2.58
108,1980-04-18,00:00:00.00,0,1.77271,3.22
109,1980-04-19,00:00:00.00,0,1.85795,3.53
110,1980-04-20,00:00:00.00,9.39662,2.01358,4.27
111,1980-04-21,00:00:00.00,4.74642,2.21095,5.83
112,1980-04-22,00:00:00.00,0,2.3166,7.69
113,1980-04-23,00:00:00.00,0,2.42409,8.16
114,1980-04-24,00:00:00.00,1.56865,2.53605,8.98
115,1980-04-25,00:00:00.00,1.12961,2.54308,10.7
116,1980-04-26,00:00:00.00,0,2.44518,10.4
117,1980-04-27,00:00:00.00,0,2.3939,10.7
118,1980-04-28,00:00:00.00,0,2.34928,12.5
119,1980-04-29,00:00:00.00,13.103,2.4062,13.2
120,1980-04-30,00:00:00.00,0,2.39735,15.2
121,1980-05-01,00:00:00.00,0,2.24362,11.6
122,1980-05-02,00:00:00.00,0,2.15087,12.1
123,1980-05-03,00:00:00.00,0,2.10105,14.1
124,1980-05-04,00:00:00.00,0,2.04112,11.3
125,1980-05-05,00:00:00.00,0,1.96177,10.1
126,1980-05-06,00:00:00.00,18.1997,1.9297,10.9
127,1980-05-07,00:00:00.00,4.21508,1.9061,18.1
128,1980-05-08,00:00:00.00,0,1.83217,11.3
129,1980-05-09,00:00:00.00,2.19505,1.7451,9.1
130,1980-05-10,00:00:00.00,5.10622,1.69599,8.8
131,1980-05-11,00:00:00.00,0,1.65506,8.02
132,1980-05-12,00:00:00.00,5.05343,1.59828,7.05
133,1980-05-13,00:00:00.00,3.6908,1.54904,6.84
134,1980-05-14,00:00:00.00,1.82163,1.5007,6.13
135,1980-05-15,00:00:00.00,6.16884,1.47634,5.88
136,1980-05-16,00:00:00.00,3.0436,1.45388,6.6
137,1980-05-17,00:00:00.00,0,1.40572,5.85
138,1980-05-18,00:00:00.00,0,1.35906,5.4
139,1980-05-19,00:00:00.00,0,1.31443,4.78
140,1980-05-20,00:00:00.00,0,1.27163,4.15
141,1980-05-21,00:00:00.00,5.61835,1.2309,3.54
142,1980-05-22,00:00:00.00,10.1338,1.30344,6
143,1980-05-23,00:00:00.00,5.53704,1.39692,5.68
144,1980-05-24,00:00:00.00,0.896387,1.37515,4.14
145,1980-05-25,00:00:00.00,1.46229,1.33028,3.36
146,1980-05-26,00:00:00.00,5.48425,1.30529,3.18
147,1980-05-27,00:00:00.00,8.22163,1.35279,4.19
148,1980-05-28,00:00:00.00,0.896387,1.38046,5.65
149,1980-05-29,00:00:00.00,2.9908,1.33598,4.3
150,1980-05-30,00:00:00.00,3.8908,1.30017,3.76
151,1980-05-31,00:00:00.00,3.04032,1.2665,3.85
152,1980-06-01,00:00:00.00,3.15148,1.23112,3.45
153,1980-06-02,00:00:00.00,5.74032,1.21935,3.41
154,1980-06-03,00:00:00.00,4.7118,1.21599,3.29
155,1980-06-04,00:00:00.00,2.79639,1.19096,3.99
156,1980-06-05,00:00:00.00,4.67114,1.16867,3.82
157,1980-06-06,00:00:00.00,3.5777,1.15114,4.19
158,1980-06-07,00:00:00.00,2.98425,1.12193,4.07
159,1980-06-08,00:00:00.00,4.67503,1.10218,3.47
160,1980-06-09,00:00:00.00,13.6469,1.27536,3.14
161,1980-06-10,00:00:00.00,8.32394,1.50699,4.25
162,1980-06-11,00:00:00.00,6.22721,1.57063,5.28
163,1980-06-12,00:00:00.00,0,1.55266,3.99
164,1980-06-13,00:00:00.00,0,1.50104,3.41
165,1980-06-14,00:00:00.00,1.12163,1.45178,3.19
166,1980-06-15,00:00:00.00,0,1.40457,2.88
167,1980-06-16,00:00:00.00,0,1.35926,2.73
168,1980-06-17,00:00:00.00,3.4777,1.31595,2.57
169,1980-06-18,00:00:00.00,0,1.27437,2.7
170,1980-06-19,00:00:00.00,0,1.23426,2.63
171,1980-06-20,00:00:00.00,0,1.19573,2.32
172,1980-06-21,00:00:00.00,0,1.1587,2.13
173,1980-06-22,00:00:00.00,0,1.1231,1.97
174,1980-06-23,00:00:00.00,7.75015,1.08917,1.86
175,1980-06-24,00:00:00.00,0,1.05653,1.82
176,1980-06-25,00:00:00.00,0,1.02481,1.77
177,1980-06-26,00:00:00.00,7.2436,0.994693,1.69
178,1980-06-27,00:00:00.00,7.3118,1.01462,1.89
179,1980-06-28,00:00:00.00,3.18983,1.03639,1.87
180,1980-06-29,00:00:00.00,0,1.00841,1.91
