time [d],date,hour,rainfall [mm/day],snowfall [mm/d SWE],Channel Storage [mm],Reservoir Storage [mm],Rivulet Storage [mm],Surface Water [mm],Cum. Losses to Atmosphere [mm],Ponded Water [mm],Soil Water[0] [mm],Soil Water[1] [mm],Soil Water[2] [mm],Net Lake Storage [mm],Snow [mm],Snow Melt (Liquid) [mm],Canopy [mm],Canopy Snow [mm], Total [mm], Cum. Inputs [mm], Cum. Outflow [mm], MB Error [mm]
0,1980-01-01,00:00:00.00,---,---,0.291338,0,1.36893,0,0,0,0,0,0,0,0,0,0,0,1.66026,0,0,0
1,1980-01-02,00:00:00.00,0,3.10912,0.291338,0,0.684463,0,0.539762,0,0,0,0,0,0.797238,0,0,1.77212,4.08492,3.10912,0.684463,8.88178e-16
2,1980-01-03,00:00:00.00,0,0,0.291338,0,0.684463,0,0.884974,0,0,0,0,0,0.797238,0,0,1.42691,4.08492,3.10912,0.684463,8.88178e-16
3,1980-01-04,00:00:00.00,0,0,0.291338,0,0.684463,0,1.18566,0,0,0,0,0,0.797238,0,0,1.12622,4.08492,3.10912,0.684463,0
4,1980-01-05,00:00:00.00,0,0,0.291338,0,0.684463,0,1.51246,0,0,0,0,0,0.797238,0,0,0.799419,4.08492,3.10912,0.684463,0
5,1980-01-06,00:00:00.00,0,0,0.291338,0,0.684463,0,1.76243,0,0,0,0,0,0.797238,0,0,0.549456,4.08492,3.10912,0.684463,8.88178e-16
6,1980-01-07,00:00:00.00,0,0,0.291338,0,0.684463,0,1.92384,0,0,0,0,0,0.797238,0,0,0.388044,4.08492,3.10912,0.684463,8.88178e-16
7,1980-01-08,00:00:00.00,0,2.4806,0.291338,0,0.684463,0,2.15724,0,0,0,0,0,1.32612,0,0,2.10636,6.56552,5.58972,0.684463,1.77636e-15
8,1980-01-09,00:00:00.00,0,2.93995,0.291338,0,0.684463,0,2.38838,0,0,0,0,0,2.41092,0,0,3.73037,9.50547,8.52967,0.684463,-1.77636e-15
9,1980-01-10,00:00:00.00,0,3.47732,0.291338,0,0.684463,0,2.57771,0,0,0,0,0,3.96888,0,0,5.46041,12.9828,12.007,0.684463,-3.55271e-15
10,1980-01-11,00:00:00.00,0,0,0.291338,0,0.684463,0,2.75745,0,0,0,0,0,3.96888,0,0,5.28066,12.9828,12.007,0.684463,-1.77636e-15
11,1980-01-12,00:00:00.00,0,3.92684,0.291338,0,0.684463,0,2.99543,0,0,0,0,0,4.83736,0,0,8.10104,16.9096,15.9338,0.684463,8.88178e-15
12,1980-01-13,00:00:00.00,0,0,0.291338,0,0.684463,0,3.37212,0,0,0,0,0,4.83736,0,0,7.72435,16.9096,15.9338,0.684463,5.32907e-15
13,1980-01-14,00:00:00.00,0,0,0.291338,0,0.684463,0,3.67048,0,0,0,0,0,4.83736,0,0,7.42599,16.9096,15.9338,0.684463,-5.32907e-15
14,1980-01-15,00:00:00.00,0,7.77077,0.291338,0,0.684463,0,4.00499,0,0,0,0,0,6.86803,0,0,12.8316,24.6804,23.7046,0.684463,7.10543e-15
15,1980-01-16,00:00:00.00,0,2.9255,0.291338,0,0.684463,0,4.34883,0,0,0,0,0,9.37985,0,0,12.9014,27.6059,26.6301,0.684463,7.10543e-15
16,1980-01-17,00:00:00.00,0,7.90815,0.291338,0,0.684463,0,4.79272,0,0,0,0,0,16.0923,0,0,13.6532,35.5141,34.5383,0.684463,-7.10543e-15
17,1980-01-18,00:00:00.00,0,0,0.291338,0,0.684463,0,5.15623,0,0,0,0,0,16.0923,0,0,13.2897,35.5141,34.5383,0.684463,7.10543e-15
18,1980-01-19,00:00:00.00,0,0,0.291338,0,0.684463,0,5.40044,0,0,0,0,0,16.0923,0,0,13.0455,35.5141,34.5383,0.684463,0
19,1980-01-20,00:00:00.00,0,0,0.291338,0,0.684463,0,5.61257,0,0,0,0,0,16.0923,0,0,12.8334,35.5141,34.5383,0.684463,0
20,1980-01-21,00:00:00.00,0,0,0.291338,0,0.684463,0,5.91936,0,0,0,0,0,16.0923,0,0,12.5266,35.5141,34.5383,0.684463,0
21,1980-01-22,00:00:00.00,0,0,0.291338,0,0.684463,0,6.26727,0,0,0,0,0,16.0923,0,0,12.1787,35.5141,34.5383,0.684463,-7.10543e-15
22,1980-01-23,00:00:00.00,0,0,0.291338,0,0.684463,0,6.63686,0,0,0,0,0,16.0923,0,0,11.8091,35.5141,34.5383,0.684463,0
23,1980-01-24,00:00:00.00,0,0,0.291338,0,0.684463,0,7.11831,0,0,0,0,0,16.0923,0,0,11.3276,35.5141,34.5383,0.684463,0
24,1980-01-25,00:00:00.00,0,0,0.291338,0,0.684463,0,7.57141,0,0,0,0,0,16.0923,0,0,10.8745,35.5141,34.5383,0.684463,0
25,1980-01-26,00:00:00.00,0,0,0.291338,0,0.684463,0,7.92425,0,0,0,0,0,16.0923,0,0,10.5217,35.5141,34.5383,0.684463,0
26,1980-01-27,00:00:00.00,0,0,0.291338,0,0.684463,0,8.16764,0,0,0,0,0,16.0923,0,0,10.2783,35.5141,34.5383,0.684463,0
27,1980-01-28,00:00:00.00,0,0,0.291338,0,0.684463,0,8.35172,0,0,0,0,0,16.0923,0,0,10.0942,35.5141,34.5383,0.684463,-7.10543e-15
28,1980-01-29,00:00:00.00,0,0,0.291338,0,0.684463,0,8.51611,0,0,0,0,0,16.0923,0,0,9.92981,35.5141,34.5383,0.684463,0
29,1980-01-30,00:00:00.00,0,0,0.291338,0,0.684463,0,8.6724,0,0,0,0,0,16.0923,0,0,9.77352,35.5141,34.5383,0.684463,-7.10543e-15
30,1980-01-31,00:00:00.00,0,0,0.291338,0,0.684463,0,8.87813,0,0,0,0,0,16.0923,0,0,9.56779,35.5141,34.5383,0.684463,0
31,1980-02-01,00:00:00.00,0,0,0.291338,0,0.684463,0,9.14473,0,0,0,0,0,16.0923,0,0,9.30119,35.5141,34.5383,0.684463,0
32,1980-02-02,00:00:00.00,0,4.96094,0.291338,0,0.684463,0,9.56248,0,0,0,0,0,17.3137,0,0,12.6231,40.475,39.4992,0.684463,0
33,1980-02-03,00:00:00.00,0,5.70487,0.291338,0,0.684463,0,10.0774,0,0,0,0,0,22.139,0,0,12.9876,46.1799,45.2041,0.684463,-2.84217e-14
34,1980-02-04,00:00:00.00,0,2.23436,0.291338,0,0.684463,0,10.7012,0,0,0,0,0,24.0777,0,0,12.6595,48.4142,47.4384,0.684463,-1.42109e-14
35,1980-02-05,00:00:00.00,0,0,0.291338,0,0.684463,0,11.3325,0,0,0,0,0,24.0777,0,0,12.0282,48.4142,47.4384,0.684463,0
36,1980-02-06,00:00:00.00,0,5.35536,0.291338,0,0.684463,0,11.9427,0,0,0,0,0,26.8344,0,0,14.0167,53.7696,52.7938,0.684463,-2.13163e-14
37,1980-02-07,00:00:00.00,0,0,0.291338,0,0.684463,0,12.5983,0,0,0,0,0,26.8344,0,0,13.3611,53.7696,52.7938,0.684463,-1.42109e-14
38,1980-02-08,00:00:00.00,0,0,0.291338,0,0.684463,0,13.2985,0,0,0,0,0,26.8344,0,0,12.6609,53.7696,52.7938,0.684463,-7.10543e-15
39,1980-02-09,00:00:00.00,0,0,0.291338,0,0.684463,0,13.9813,0,0,0,0,0,26.8344,0,0,11.978,53.7696,52.7938,0.684463,-1.42109e-14
40,1980-02-10,00:00:00.00,0,0,0.291338,0,0.684463,0,14.7274,0,0,0,0,0,26.8344,0,0,11.232,53.7696,52.7938,0.684463,-1.42109e-14
41,1980-02-11,00:00:00.00,0,0,0.291338,0,0.684463,0,15.4772,0,0,0,0,0,26.8344,0,0,10.4822,53.7696,52.7938,0.684463,-1.42109e-14
42,1980-02-12,00:00:00.00,0,0,0.291338,0,0.684463,0,16.1065,0,0,0,0,0,26.8344,0,0,9.8529,53.7696,52.7938,0.684463,0
43,1980-02-13,00:00:00.00,0,0,0.291338,0,0.684463,0,16.8192,0,0,0,0,0,26.8344,0,0,9.14021,53.7696,52.7938,0.684463,-1.42109e-14
44,1980-02-14,00:00:00.00,0,2.07174,0.291338,0,0.684463,0,17.3994,0,0,0,0,0,27.2863,0,0,10.1799,55.8413,54.8655,0.684463,-4.26326e-14
45,1980-02-15,00:00:00.00,0,3.43995,0.291338,0,0.684463,0,17.8386,0,0,0,0,0,29.7841,0,0,10.6828,59.2813,58.3055,0.684463,-2.84217e-14
46,1980-02-16,00:00:00.00,0,4.15863,0.291338,0,0.684463,0,18.4048,0,0,0,0,0,32.9118,0,0,11.1475,63.4399,62.4641,0.684463,-4.26326e-14
47,1980-02-17,00:00:00.00,0,1.82781,0.291338,0,0.684463,0,19.0741,0,0,0,0,0,34.3443,0,0,10.8735,65.2677,64.2919,0.684463,0
48,1980-02-18,00:00:00.00,0,5.53339,0.291338,0,0.684463,0,19.8598,0,0,0,0,0,38.5292,0,0,11.4364,70.8011,69.8253,0.684463,1.42109e-14
49,1980-02-19,00:00:00.00,0,0,0.291338,0,0.684463,0,20.7583,0,0,0,0,0,38.5292,0,0,10.5378,70.8011,69.8253,0.684463,-1.42109e-14
50,1980-02-20,00:00:00.00,0,7.02356,0.291338,0,0.684463,0,21.7407,0,0.0224908,0,0,0,42.2865,0.145444,0,12.6538,77.8247,76.8489,0.684463,2.84217e-14
51,1980-02-21,00:00:00.00,0,6.58618,0.291338,0,0.684463,0,22.6574,0,0.0215503,0,0,0,48.9323,0,0,11.8238,84.4109,83.4351,0.684463,-1.42109e-14
52,1980-02-22,00:00:00.00,0,0,0.291338,0,0.684463,0,23.6053,0,0.0206147,0,0,0,48.9323,0,0,10.8769,84.4109,83.4351,0.684463,0
53,1980-02-23,00:00:00.00,0,0,0.291338,0,0.684463,0,24.421,0,0.0198361,0,0,0,48.9323,0,0,10.062,84.4109,83.4351,0.684463,-2.84217e-14
54,1980-02-24,00:00:00.00,0,0,0.291338,0,0.684463,0,25.2967,0,0.019042,0,0,0,48.9323,0,0,9.1871,84.4109,83.4351,0.684463,-1.42109e-14
55,1980-02-25,00:00:00.00,0,3.53242,0.291338,0,0.684463,0,25.9915,0,0.0184282,0,0,0,49.7646,0,0,11.1929,87.9433,86.9675,0.684463,1.42109e-14
56,1980-02-26,00:00:00.00,0,2.76094,0.291338,0,0.684463,0,26.957,0,0.0176167,0,0,0,51.9667,0,0,10.787,90.7042,89.7284,0.684463,1.42109e-14
