time [d],date,hour,rainfall [mm/day],snowfall [mm/d SWE],Channel Storage [mm],Reservoir Storage [mm],Rivulet Storage [mm],Surface Water [mm],Cum. Losses to Atmosphere [mm],Ponded Water [mm],Soil Water[0] [mm],Soil Water[1] [mm],Soil Water[2] [mm],Net Lake Storage [mm],Snow [mm],Snow Melt (Liquid) [mm],Canopy [mm],Canopy Snow [mm], Total [mm], Cum. Inputs [mm], Cum. Outflow [mm], MB Error [mm]
0,1980-01-01,00:00:00.00,---,---,0.291338,0,1.36893,0,0,0,0,0,0,0,0,0,0,0,1.66026,0,0,0
1,1980-01-02,00:00:00.00,0,3.10912,0.291338,0,0.684463,0,0.539447,0,0,0,0,0,0.796359,0,0,1.77331,4.08492,3.10912,0.684463,8.88178e-16
2,1980-01-03,00:00:00.00,0,0,0.291338,0,0.684463,0,0.884345,0,0,0,0,0,0.796359,0,0,1.42842,4.08492,3.10912,0.684463,8.88178e-16
3,1980-01-04,00:00:00.00,0,0,0.291338,0,0.684463,0,1.18475,0,0,0,0,0,0.796359,0,0,1.12801,4.08492,3.10912,0.684463,0
4,1980-01-05,00:00:00.00,0,0,0.291338,0,0.684463,0,1.51128,0,0,0,0,0,0.796359,0,0,0.801483,4.08492,3.10912,0.684463,0
5,1980-01-06,00:00:00.00,0,0,0.291338,0,0.684463,0,1.76102,0,0,0,0,0,0.796359,0,0,0.551737,4.08492,3.10912,0.684463,8.88178e-16
6,1980-01-07,00:00:00.00,0,0,0.291338,0,0.684463,0,1.92238,0,0,0,0,0,0.796359,0,0,0.390377,4.08492,3.10912,0.684463,0
7,1980-01-08,00:00:00.00,0,2.4806,0.291338,0,0.684463,0,2.15559,0,0,0,0,0,1.32514,0,0,2.10899,6.56552,5.58972,0.684463,1.77636e-15
8,1980-01-09,00:00:00.00,0,2.93995,0.291338,0,0.684463,0,2.38653,0,0,0,0,0,2.40687,0,0,3.73626,9.50547,8.52967,0.684463,-1.77636e-15
9,1980-01-10,00:00:00.00,0,3.47732,0.291338,0,0.684463,0,2.5757,0,0,0,0,0,3.96069,0,0,5.4706,12.9828,12.007,0.684463,-3.55271e-15
10,1980-01-11,00:00:00.00,0,0,0.291338,0,0.684463,0,2.7553,0,0,0,0,0,3.96069,0,0,5.29101,12.9828,12.007,0.684463,0
11,1980-01-12,00:00:00.00,0,3.92684,0.291338,0,0.684463,0,2.99307,0,0,0,0,0,4.82399,0,0,8.11677,16.9096,15.9338,0.684463,5.32907e-15
12,1980-01-13,00:00:00.00,0,0,0.291338,0,0.684463,0,3.36943,0,0,0,0,0,4.82399,0,0,7.74041,16.9096,15.9338,0.684463,5.32907e-15
13,1980-01-14,00:00:00.00,0,0,0.291338,0,0.684463,0,3.66755,0,0,0,0,0,4.82399,0,0,7.44229,16.9096,15.9338,0.684463,-5.32907e-15
14,1980-01-15,00:00:00.00,0,7.77077,0.291338,0,0.684463,0,4.0018,0,0,0,0,0,6.82897,0,0,12.8738,24.6804,23.7046,0.684463,3.55271e-15
15,1980-01-16,00:00:00.00,0,2.9255,0.291338,0,0.684463,0,4.34536,0,0,0,0,0,9.34023,0,0,12.9445,27.6059,26.6301,0.684463,0
16,1980-01-17,00:00:00.00,0,7.90815,0.291338,0,0.684463,0,4.78894,0,0,0,0,0,16.0518,0,0,13.6975,35.5141,34.5383,0.684463,-1.42109e-14
17,1980-01-18,00:00:00.00,0,0,0.291338,0,0.684463,0,5.15218,0,0,0,0,0,16.0518,0,0,13.3343,35.5141,34.5383,0.684463,7.10543e-15
18,1980-01-19,00:00:00.00,0,0,0.291338,0,0.684463,0,5.39621,0,0,0,0,0,16.0518,0,0,13.0903,35.5141,34.5383,0.684463,0
19,1980-01-20,00:00:00.00,0,0,0.291338,0,0.684463,0,5.60818,0,0,0,0,0,16.0518,0,0,12.8783,35.5141,34.5383,0.684463,-7.10543e-15
20,1980-01-21,00:00:00.00,0,0,0.291338,0,0.684463,0,5.91474,0,0,0,0,0,16.0518,0,0,12.5717,35.5141,34.5383,0.684463,0
21,1980-01-22,00:00:00.00,0,0,0.291338,0,0.684463,0,6.26241,0,0,0,0,0,16.0518,0,0,12.2241,35.5141,34.5383,0.684463,-7.10543e-15
22,1980-01-23,00:00:00.00,0,0,0.291338,0,0.684463,0,6.63175,0,0,0,0,0,16.0518,0,0,11.8547,35.5141,34.5383,0.684463,0
23,1980-01-24,00:00:00.00,0,0,0.291338,0,0.684463,0,7.1129,0,0,0,0,0,16.0518,0,0,11.3736,35.5141,34.5383,0.684463,0
24,1980-01-25,00:00:00.00,0,0,0.291338,0,0.684463,0,7.56571,0,0,0,0,0,16.0518,0,0,10.9208,35.5141,34.5383,0.684463,0
25,1980-01-26,00:00:00.00,0,0,0.291338,0,0.684463,0,7.91834,0,0,0,0,0,16.0518,0,0,10.5681,35.5141,34.5383,0.684463,-1.42109e-14
26,1980-01-27,00:00:00.00,0,0,0.291338,0,0.684463,0,8.16158,0,0,0,0,0,16.0518,0,0,10.3249,35.5141,34.5383,0.684463,0
27,1980-01-28,00:00:00.00,0,0,0.291338,0,0.684463,0,8.34555,0,0,0,0,0,16.0518,0,0,10.1409,35.5141,34.5383,0.684463,-1.42109e-14
28,1980-01-29,00:00:00.00,0,0,0.291338,0,0.684463,0,8.50984,0,0,0,0,0,16.0518,0,0,9.97664,35.5141,34.5383,0.684463,-7.10543e-15
29,1980-01-30,00:00:00.00,0,0,0.291338,0,0.684463,0,8.66604,0,0,0,0,0,16.0518,0,0,9.82044,35.5141,34.5383,0.684463,0
